threshold                precision                recall                   f1_score
3.099999999999999978e-01 6.470767925328807513e-01 8.137571896575641617e-01 7.209079178109385477e-01
3.200000000000000067e-01 6.592593886157849248e-01 8.057005047433065670e-01 7.251606335058922159e-01
3.300000000000000155e-01 6.710628045381807905e-01 7.965446959268388527e-01 7.284393373832003249e-01
3.400000000000000244e-01 6.824313703734524728e-01 7.876023092273052306e-01 7.312547061387865144e-01
3.500000000000000333e-01 6.944042358677433580e-01 7.781156961295898622e-01 7.338805046321689174e-01
3.599999999999999867e-01 7.060063534394854790e-01 7.683943187032472588e-01 7.358803901830835992e-01
3.699999999999999956e-01 7.176408763845096850e-01 7.577765683857817791e-01 7.371628179775047141e-01
3.800000000000000044e-01 7.293253451419640099e-01 7.469453959513824293e-01 7.380302183608700162e-01
3.900000000000000133e-01 7.408757554250812172e-01 7.352071795200136872e-01 7.380305830052756866e-01
4.000000000000000222e-01 7.520350935643289603e-01 7.226152746209089095e-01 7.370317159711791133e-01
4.100000000000000311e-01 7.628673309102582678e-01 7.100020275101108780e-01 7.354859391581181072e-01
4.199999999999999845e-01 7.730683647381876300e-01 6.969832783771382489e-01 7.330568633942950996e-01
4.299999999999999933e-01 7.837778267577694136e-01 6.830361430355027519e-01 7.299474845618296737e-01
4.400000000000000022e-01 7.941716819765600732e-01 6.688649144710866468e-01 7.261521351282467229e-01
4.500000000000000111e-01 8.035986141004777261e-01 6.534024820992199167e-01 7.207590034548312374e-01
4.600000000000000200e-01 8.135007550301331936e-01 6.381107874209004382e-01 7.152100850386919895e-01
4.700000000000000289e-01 8.227450206503812424e-01 6.228511060601210625e-01 7.089776136625894898e-01
4.799999999999999822e-01 8.316442182541423644e-01 6.068337761842259592e-01 7.016719106669133676e-01
4.899999999999999911e-01 8.401209156780240495e-01 5.901761799575290235e-01 6.933095987263541149e-01
5.000000000000000000e-01 8.486366077917153472e-01 5.732197927671244253e-01 6.842537688922289973e-01
5.100000000000000089e-01 8.567133280757097680e-01 5.564234721644204518e-01 6.746627850557981310e-01
5.200000000000000178e-01 8.642700929469655513e-01 5.397872181494167698e-01 6.645340550056161311e-01
5.300000000000000266e-01 8.714593075979302217e-01 5.229908975467127963e-01 6.536845615205069127e-01
5.400000000000000355e-01 8.777499768325456309e-01 5.053729017938128898e-01 6.414340471063074700e-01
5.500000000000000444e-01 8.838449205092047123e-01 4.882457769098611511e-01 6.290160711585256470e-01
5.600000000000000533e-01 8.904595062623333890e-01 4.718976427527184492e-01 6.168804447141371661e-01
5.700000000000000622e-01 8.958039455123480987e-01 4.540342115653445143e-01 6.026287462466715095e-01
5.799999999999999600e-01 9.015496208374547127e-01 4.376860774082018124e-01 5.892849446144562409e-01
5.899999999999999689e-01 9.067249109092999637e-01 4.208470723821109427e-01 5.748728189729312987e-01
5.999999999999999778e-01 9.118149243681311633e-01 4.046056492834352314e-01 5.604978786938075164e-01
6.099999999999999867e-01 9.162260160145037080e-01 3.882895284438326322e-01 5.454300168634064194e-01
6.199999999999999956e-01 9.196225617169740962e-01 3.712797857241946220e-01 5.289900794404956974e-01
