threshold                precision                recall                   f1_score
2.700000000000000178e-01 2.781299239184261696e-01 6.592715903149043433e-01 3.912158332832026408e-01
2.800000000000000266e-01 2.790340364766914494e-01 6.589194438219633243e-01 3.920470598692711306e-01
2.899999999999999800e-01 2.791165659742838034e-01 6.571693824631046343e-01 3.918180372196596317e-01
2.999999999999999889e-01 2.773417932876940939e-01 6.558141520205739150e-01 3.898269606475020521e-01
3.099999999999999978e-01 2.786811590914248238e-01 6.552699256223922797e-01 3.910512774791757851e-01
3.200000000000000067e-01 2.789336682685306656e-01 6.540747617675619630e-01 3.910864398398494757e-01
3.300000000000000155e-01 2.777460161893353652e-01 6.532104021939794114e-01 3.897638672664699433e-01
3.400000000000000244e-01 2.801694043288134317e-01 6.508734300135523565e-01 3.917216575951704138e-01
3.500000000000000333e-01 2.794762426180538717e-01 6.509481277544791888e-01 3.910571190460926938e-01
3.599999999999999867e-01 2.761024466499436558e-01 6.483550490337313121e-01 3.872810078816446566e-01
3.699999999999999956e-01 2.808299983807166500e-01 6.477361248946228445e-01 3.917948982753278742e-01
3.800000000000000044e-01 2.804844761301127365e-01 6.469571341678138632e-01 3.913161342791307007e-01
3.900000000000000133e-01 2.804796647723585279e-01 6.456979436779033410e-01 3.910808059590556995e-01
4.000000000000000222e-01 2.800982573229514050e-01 6.448976107394008839e-01 3.905632514839839642e-01
4.100000000000000311e-01 2.807875356479909157e-01 6.440545933775116971e-01 3.910775610704334548e-01
4.199999999999999845e-01 2.819485794140053625e-01 6.437451313079574078e-01 3.921448815621831341e-01
4.299999999999999933e-01 2.829805536361457152e-01 6.424112430771200533e-01 3.928928046989720868e-01
4.400000000000000022e-01 2.806123640371565586e-01 6.411733947989030069e-01 3.903752696275890610e-01
4.500000000000000111e-01 2.843652671050074243e-01 6.401169553200798390e-01 3.937923835907805037e-01
4.600000000000000200e-01 2.842009843239061695e-01 6.390071603120230925e-01 3.934247439342474228e-01
4.700000000000000289e-01 2.848697509439719333e-01 6.376199165519522705e-01 3.938008917067319925e-01
4.799999999999999822e-01 2.838169138123913804e-01 6.362113305801879726e-01 3.925260718424101736e-01
